product_series,family,subtype,data_source,d_mm,dw_mm,Mmax_Nm,D_mm,l_mm,e_mm,H_mm,A_mm,d1_mm,MA_Nm,Z_count,S_spec,DIN_spec,class_spec,nmax_rpm,pN_N_per_mm2,I_kgm2,weight_kg
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,300,631,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,380,290,585,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,300,632,640,146,18,164,444,388,1210,18,M27x070,933,10.9,895,219,16.23,244
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,310,681,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,390,290,640,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,300,691,645,146,19,165,454,398,1210,18,M27x080,933,10.9,888,240,16.56,243
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,320,799,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,420,320,742,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,330,797,670,167,19,186,490,428,1210,18,M27x080,933,10.9,855,201,21.51,286
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,350,912,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,440,340,945,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,350,,710,174,23,197,506,448,1210,21,M27x080,933,10.9,807,215,28.49,339
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,370,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,460,360,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,370,,745,174,24,198,534,470,1210,21,M27x090,933,10.9,769,223,34.62,375
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,390,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,480,380,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,390,,770,192,25,217,552,488,1640,20,M30x090,933,10.9,744,219,43.28,437
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,410,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,500,400,,,,,,,,,,,,,,,,
